"","Keyword","Search Volume","Relevancy %","Exact Sugg. Bid | Bid Range","B0896V8WRN","B09987PKBT","B09MTJ4QBN","B09QT16W5T","B07CKBFGB5"
"","hat for golden retriever","150","60%","$0.35 | $0.32 - $0.38","41","7","","","8"
"","dog spinner hat","150","60%","$0.55 | $0.44 - $0.66","8","","41","","13"
"","dog giraffe hat","150","60%","$0.51 | $0.41 - $0.62","15","19","12","",""
"","dog fireman hat","150","60%","$0.50 | $0.40 - $0.60","27","28","","","25"
"","durag for dogs","150","60%","$1.27 | $1.02 - $1.53","4","5","20","",""
"","eeyore dog hat","150","60%","$0.81 | $0.65 - $0.98","15","47","3","","42"
"","hat dog","150","60%","$0.44 | $0.35 - $0.52","1","2","12","",""
"","baseball cap for dogs","150","60%","$0.41 | $0.32 - $0.48","2","4","","","6"
"","baseball caps for dogs","150","60%","$0.41 | $0.32 - $0.48","4","2","","","3"
"","ball cap for dogs","150","60%","$0.39 | $0.32 - $0.47","23","19","","","4"
"","sun hats for dogs","150","60%","$0.35 | $0.32 - $0.38","6","12","","","3"
"","sun hat for dogs","150","60%","$0.35 | $0.32 - $0.38","1","6","","","9"
"","rain hats for dogs","150","60%","$0.66 | $0.53 - $0.80","21","12","18","",""
"","xs dog hat","150","60%","$0.41 | $0.33 - $0.50","7","38","","","17"
"","dog ball cap","150","60%","$0.35 | $0.32 - $0.38","32","15","","","2"
"","dog flower hat","150","60%","$0.56 | $0.45 - $0.68","63","31","30","","16"
"","spinning hat for dog","150","60%","$0.66 | $0.53 - $0.80","6","29","15","","51"
"","dog swim trunks","978","40%","$1.05 | $0.84 - $1.26","15","45","","","70"
"","dog hats for small dogs","602","40%","$0.44 | $0.32 - $0.54","21","1","73","","61"
"","dog sombrero hat","531","40%","$0.55 | $0.44 - $0.66","","43","44","",""
"","dog swimming trunks","150","40%","$0.88 | $0.57 - $1.06","","5","","","37"
"","dog beanies for medium dogs","150","40%","$0.35 | $0.32 - $0.38","","30","27","",""
"","thanksgiving hats for dogs","150","40%","$0.35 | $0.32 - $0.38","","","30","","18"
"","bonnet for dog","150","40%","$0.46 | $0.37 - $0.55","20","54","25","",""
"","dog beanies for large dogs","150","40%","$0.35 | $0.32 - $0.38","","33","16","",""
"","dog golf costume","150","40%","$1.00 | $0.80 - $1.20","19","11","94","",""
"","dog astros","150","40%","$1.17 | $0.94 - $1.41","88","31","","","19"
"","referee costume dog","150","40%","$0.75 | $0.54 - $0.94","28","43","","",""
"","puppy winter hat","150","40%","","18","","31","",""
"","dog durag","150","40%","$1.27 | $1.02 - $1.53","4","14","55","",""
"","protector solar para perros","150","40%","","40","37","","",""
"","matching dog and owner hat","150","40%","$0.38 | $0.32 - $0.45","48","7","","","33"
"","grinch dog hat","150","40%","$0.43 | $0.34 - $0.51","40","37","","",""
"","grandma bonnet for dog","150","40%","","11","","35","",""
"","duck dog hat","150","40%","$0.41 | $0.33 - $0.50","13","17","69","","60"
"","chef hat for dogs","150","40%","$0.66 | $0.53 - $0.80","32","42","","",""
"","beanie for dogs","150","40%","$0.35 | $0.32 - $0.38","","7","5","",""
"","dog hard hat","150","40%","$0.44 | $0.35 - $0.52","30","43","79","",""
"","dog referee","150","40%","","10","21","","","52"
"","dog swim trunks small dog","150","40%","$1.09 | $0.87 - $1.31","41","","","","44"
"","golden retriever ears","150","40%","$1.50 | $1.13 - $1.88","75","21","","","24"
"","baseball costume for dogs","150","40%","$0.55 | $0.41 - $0.69","6","26","","","90"
"","top hat for dog","150","40%","$0.45 | $0.36 - $0.54","34","33","73","",""
"","dog police hat","150","40%","$0.41 | $0.33 - $0.50","32","30","","","62"
"","dog newsboy hat","150","40%","$0.66 | $0.53 - $0.80","29","","","","41"
"","umbrella hat for dogs","150","40%","$0.66 | $0.53 - $0.80","17","10","","",""
"","mouse ears for dog","150","40%","$1.98 | $1.58 - $2.37","27","","12","",""
"","captain hat for dog","150","40%","$0.35 | $0.32 - $0.44","28","25","","","71"
"","hard hats for dogs","150","40%","$0.66 | $0.53 - $0.80","34","20","47","",""
"","dog and owner matching hats","150","40%","$0.51 | $0.41 - $0.62","45","9","53","",""
"","dog fedora hat","150","40%","$0.66 | $0.53 - $0.80","40","39","","",""
"","dog golf outfit","150","40%","$0.63 | $0.50 - $0.75","44","27","71","","47"
"","dog duck hat","150","40%","$0.48 | $0.40 - $0.53","13","24","76","","53"
"","zoo snoods","150","40%","$0.96 | $0.77 - $1.16","32","","44","",""
"","matching dog and owner hats","150","40%","$0.38 | $0.32 - $0.45","50","12","","","34"
"","frenchie hats for dogs","150","40%","$0.66 | $0.53 - $0.80","19","17","53","","92"
"","dog captain hat","150","40%","$0.51 | $0.41 - $0.62","37","14","","","55"
"","dog and human matching hats","150","40%","$0.66 | $0.53 - $0.80","8","14","","","70"
"","dodgers dog hat","150","40%","$0.35 | $0.32 - $0.38","","22","","","26"
"","bonnet for dogs","150","40%","$0.46 | $0.37 - $0.55","6","51","25","",""
"","blue dog hat","150","40%","$0.35 | $0.32 - $0.38","4","","7","",""
"","puppy hats","150","40%","$1.00 | $0.80 - $1.20","","12","","38",""
"","referee shirt for dogs","150","40%","$0.99 | $0.79 - $1.19","16","40","","",""
"","baseball dog costume","150","40%","$0.35 | $0.32 - $0.38","11","30","","",""
"","beanie for dog","150","40%","$0.35 | $0.32 - $0.38","","30","12","",""
"","pet hats","150","40%","$0.38 | $0.32 - $0.42","36","12","","59",""
"","pet hat","150","40%","$0.38 | $0.32 - $0.42","34","2","95","75",""
"","doggie hats for small dogs","150","40%","$0.54 | $0.43 - $0.65","15","61","25","64","67"
"","thundercap calming cap for dogs","150","40%","$0.80 | $0.64 - $0.96","31","","25","",""
"","hat for french bulldog","150","40%","$0.35 | $0.32 - $0.38","5","6","","",""
"","dog hat with propeller","150","40%","$0.44 | $0.35 - $0.52","32","","55","","29"
"","dog bonnet for small dogs","150","40%","$0.46 | $0.37 - $0.55","11","57","43","",""
"","beanies for dogs","150","40%","$0.35 | $0.32 - $0.38","","10","26","",""
"","dog camo","150","40%","$3.09 | $2.47 - $3.71","","32","","","21"
"","dog captains hat","150","40%","$0.51 | $0.41 - $0.62","32","22","","",""
"","dog hat duck","150","40%","$0.41 | $0.33 - $0.50","5","25","86","","69"
"","chihuahua hats","150","40%","$0.41 | $0.33 - $0.50","23","16","","","56"
"","happy hoodie calming cap for dogs","150","40%","$0.44 | $0.35 - $0.52","5","","8","",""
"","dog chef hat","150","40%","$0.51 | $0.41 - $0.62","69","25","19","","85"
"","dog sun hats for small dogs","150","40%","$0.35 | $0.32 - $0.42","11","","","","7"
"","duck hat for dog","150","40%","$0.66 | $0.53 - $0.80","6","29","","","77"
"","french bulldog hat","150","40%","$0.35 | $0.32 - $0.38","38","34","","",""
"","duck hat for dogs","150","40%","$0.66 | $0.53 - $0.80","4","24","51","","62"
"","dog swim cap","150","40%","$0.39 | $0.32 - $0.47","26","7","88","",""
"","winter hat for dogs with ear holes","150","40%","$0.41 | $0.33 - $0.50","30","49","19","",""
"","camo for dogs","150","40%","$1.20 | $1.07 - $1.50","","8","","","4"
"","referee costume for dogs","150","40%","$0.75 | $0.54 - $0.94","29","39","","",""
"","referee dog costume","150","40%","$0.58 | $0.36 - $0.73","27","38","","",""
"","baseball for dogs","150","40%","$0.59 | $0.47 - $0.78","13","25","","",""
"","dog aviator hat","150","40%","$0.55 | $0.44 - $0.66","40","","37","",""
"","dog baseball","150","40%","$1.01 | $0.81 - $1.22","15","10","","","52"
"","dog beanie","150","40%","$0.70 | $0.56 - $0.84","95","18","7","",""
"","dog bomber hat","150","40%","$0.41 | $0.33 - $0.50","41","","33","","75"
"","dog bowler hat","150","40%","$0.41 | $0.33 - $0.50","35","","28","",""
"","dog bucket hats for small dogs","150","40%","$0.56 | $0.45 - $0.68","32","13","99","",""
"","dog foxtail protection","150","40%","$2.89 | $2.31 - $3.47","36","","43","",""
"","dog lifeguard costume","150","40%","$1.50 | $1.20 - $1.67","16","42","","","78"
"","dog spinny hat","150","40%","$0.66 | $0.53 - $0.80","15","38","","","55"
"","dog stocking cap","150","40%","","32","47","6","",""
"","dog umbrella hat","150","40%","$0.40 | $0.34 - $0.53","22","16","50","",""
"","el perro con sombrero","150","40%","$0.79 | $0.63 - $0.95","26","","","","44"
"","funny dog hats","150","40%","$0.41 | $0.33 - $0.50","39","85","36","",""
"","giraffe dog hat","150","40%","","40","","10","","48"
"","green dog hat","150","40%","$0.35 | $0.32 - $0.38","1","35","","","52"
"","hats for french bulldogs","150","40%","$0.35 | $0.32 - $0.38","31","29","","","64"
"","hats for chihuahua","150","40%","$0.36 | $0.32 - $0.43","32","24","","","49"
"","pet hats for small dogs","150","40%","$0.55 | $0.44 - $0.66","33","10","74","","53"
"","sherlock holmes hat for dogs","150","40%","$0.35 | $0.32 - $0.40","24","22","","",""
"","small dog beanie","150","40%","$0.43 | $0.34 - $0.51","96","26","30","",""
"","spinny hat for dogs","150","40%","$0.66 | $0.53 - $0.80","15","42","","","52"
"","straw hat for dogs","150","40%","$0.44 | $0.35 - $0.52","39","8","","","78"
"","hard hat for dogs","150","40%","$0.66 | $0.53 - $0.80","34","10","63","",""
"","thunder cap for dogs","150","40%","$0.35 | $0.32 - $0.38","32","","6","",""
"","thundercap for dogs","150","40%","","14","","7","",""
"","turkey dog hat","150","40%","$0.60 | $0.48 - $0.72","28","","41","",""
"","yoda dog ears","150","40%","$1.20 | $0.96 - $1.44","17","","24","",""
"","yoda dog hat","150","40%","$0.80 | $0.64 - $0.96","21","","6","",""
"","dog ear hat","150","40%","$0.38 | $0.32 - $0.45","30","","2","",""
"","yorkie hat","150","40%","","17","22","","","50"
"","dog hat with ears","150","40%","$0.41 | $0.33 - $0.50","8","64","1","",""
"","dog beanies","150","40%","$0.49 | $0.39 - $0.59","","7","1","",""
